IPA,OLD_IPA_key,consonantal,voice,sibilant,lateral,geminate,place_articulation,place_value,articulation_manner,consonantality_value,IPA_key
ɥɥ,,True,True,False,False,True,BɈ,0.5,GG,0.46875,339.0
ww,250.0,True,True,False,False,True,BK,0.0,GG,0.46875,340.0
w̃w̃,,True,True,False,False,True,BK,0.0,NGG,0.46875,341.0
jj,251.0,True,True,False,False,True,Ɉ,-2.0,GG,0.46875,342.0
j̃j̃,,True,True,False,False,True,Ɉ,-2.0,NGG,0.46875,343.0
ɰɰ,,True,True,False,False,True,K,-3.0,GG,0.46875,344.0
ɥ,99.0,True,True,False,False,False,BɈ,0.5,G,0.375,345.0
w,97.0,True,True,False,False,False,BK,0.0,G,0.375,346.0
w̃,,True,True,False,False,False,BK,0.0,NG,0.375,347.0
j,98.0,True,True,False,False,False,Ɉ,-2.0,G,0.375,348.0
j̃,264.0,True,True,False,False,False,Ɉ,-2.0,NG,0.375,349.0
ɰ,100.0,True,True,False,False,False,K,-3.0,G,0.375,350.0
