key,IPA,Consonantal?,Voiced?,Sibilant?,Lateral?,Geminate?,"Place of
articulation","Place
value","Manner of
articulation","Consonantality
value",,,,,,
226,ʀ̥ː,+,−,−,−,+,Q,-4,RRR,1.875,,,,,,
227,ʀː,+,+,−,−,+,Q,-4,RRR,1.875,,,,,,
228,ʜː,+,−,−,−,+,H,-5,RRR,1.875,,,,,,
229,ʢː,+,+,−,−,+,H,-5,RRR,1.875,,,,,,
230,mm,+,+,−,−,+,B,3,NN,1.5625,,,,,,
231,ɱɱ,+,+,−,−,+,B,2.5,NN,1.5625,,,,,,
232,n̪n̪,+,+,−,−,+,D,1.666666667,NN,1.5625,,,,,,
233,nn,+,+,−,−,+,D,0.75,NN,1.5625,,,,,,
234,ȵȵ,+,+,−,−,+,Ɉ,0,NN,1.5625,,,,,,
235,n̠n̠,+,+,−,−,+,Ɉ,-0.5,NN,1.5625,,,,,,
236,ɳɳ,+,+,−,−,+,Ɉ,-1.25,NN,1.5625,,,,,,
237,ɲɲ,+,+,−,−,+,Ɉ,-2,NN,1.5625,,,,,,
238,ŋŋ,+,+,−,−,+,K,-3,NN,1.5625,,,,,,
239,ɴɴ,+,+,−,−,+,Q,-4,NN,1.5625,,,,,,
240,ʙ̥,+,−,−,−,−,B,3,RR,1.5,,,,,,
241,ʙ,+,+,−,−,−,B,3,RR,1.5,,,,,,
242,r̪̥,+,−,−,−,−,D,1.666666667,RR,1.5,,,,,,
243,r̪,+,+,−,−,−,D,1.666666667,RR,1.5,,,,,,
244,r̥,+,−,−,−,−,D,0.75,RR,1.5,,,,,,
245,r,+,+,−,−,−,D,0.75,RR,1.5,,,,,,
246,r̠̥,+,−,−,−,−,Ɉ,-0.5,RR,1.5,,,,,,
247,r̠,+,+,−,−,−,Ɉ,-0.5,RR,1.5,,,,,,
248,ɽ̥͡r̥,+,−,−,−,−,Ɉ,-1.25,RR,1.5,,,,,,
249,ɽ͡r,+,+,−,−,−,Ɉ,-1.25,RR,1.5,,,,,,
250,ʀ̥,+,−,−,−,−,Q,-4,RR,1.5,,,,,,
251,ʀ,+,+,−,−,−,Q,-4,RR,1.5,,,,,,
252,ʜ,+,−,−,−,−,H,-5,RR,1.5,,,,,,
253,ʢ,+,+,−,−,−,H,-5,RR,1.5,,,,,,
254,m,+,+,−,−,−,B,3,N,1.25,,,,,,
255,ɱ,+,+,−,−,−,B,2.5,N,1.25,,,,,,
256,n̪,+,+,−,−,−,D,1.666666667,N,1.25,,,,,,
257,n,+,+,−,−,−,D,0.75,N,1.25,,,,,,
258,ȵ,+,+,−,−,−,Ɉ,0,N,1.25,,,,,,
259,n̠,+,+,−,−,−,Ɉ,-0.5,N,1.25,,,,,,
260,ɳ,+,+,−,−,−,Ɉ,-1.25,N,1.25,,,,,,
261,ɲ,+,+,−,−,−,Ɉ,-2,N,1.25,,,,,,
262,ŋ,+,+,−,−,−,K,-3,N,1.25,,,,,,
263,ɴ,+,+,−,−,−,Q,-4,N,1.25,,,,,,
264,ⱱ̟,+,+,−,−,−,B,3,R,1,,,,,,
265," ⱱ
",+,+,−,−,−,B,2.5,R,1,,,,,,
266,ɾ̪̥,+,−,−,−,−,D,1.666666667,R,1,,,,,,
267,ɾ̪,+,+,−,−,−,D,1.666666667,R,1,,,,,,
268,ɾ̥,+,−,−,−,−,D,0.75,R,1,,,,,,
269,ɾ,+,+,−,−,−,D,0.75,R,1,,,,,,
270,ɾ̠̥,+,−,−,−,−,Ɉ,-0.5,R,1,,,,,,
271,ɾ̠,+,+,−,−,−,Ɉ,-0.5,R,1,,,,,,
272,ɽ̊,+,−,−,−,−,Ɉ,-1.25,R,1,,,,,,
273,ɽ,+,+,−,−,−,Ɉ,-1.25,R,1,,,,,,
274,ɢ̆,+,+,−,−,−,Q,-4,R,1,,,,,,
275,ʡ̆,+,+,−,−,−,H,-5,R,1,,,,,,
276,ɺ̥,+,−,−,+,−,D,0.75,R,1,,,,,,
277,ɺ,+,+,−,+,−,D,0.75,R,1,,,,,,
278,𝼈̊,+,−,−,+,−,Ɉ,-1.25,R,1,,,,,,
279,𝼈,+,+,−,+,−,Ɉ,-1.25,R,1,,,,,,
280,ʎ̆,+,−,−,+,−,Ɉ,-2,R,1,,,,,,
281,ʟ̆,+,+,−,+,−,K,-3,R,1,,,,,,
282,l̪̥l̪̥,+,−,−,+,+,D,1.666666667,LL,0.9375,,,,,,
283,l̪l̪,+,+,−,+,+,D,1.666666667,LL,0.9375,,,,,,
284,l̥l̥,+,−,−,+,+,D,0.75,LL,0.9375,,,,,,
285,ll,+,+,−,+,+,D,0.75,LL,0.9375,,,,,,
286,ȴȴ,+,+,−,+,+,Ɉ,0,LL,0.9375,,,,,,
287,l̪ʲl̪ʲ,+,+,−,+,+,Ɉ,-0.166666667,LL,0.9375,,,,,,
288,l̠l̠,+,+,−,+,+,Ɉ,-0.5,LL,0.9375,,,,,,
289,ɫ̪̊ɫ̪̊,+,−,−,+,+,Ɉ,-1.166666667,LL,0.9375,,,,,,
290,ɫ̪ɫ̪,+,+,−,+,+,Ɉ,-1.166666667,LL,0.9375,,,,,,
291,ɭ̊ɭ̊,+,−,−,+,+,Ɉ,-1.25,LL,0.9375,,,,,,
292,ɭɭ,+,+,−,+,+,Ɉ,-1.25,LL,0.9375,,,,,,
293,ɫ̥ɫ̥,+,−,−,+,+,Ɉ,-1.625,LL,0.9375,,,,,,
294,ɫɫ,+,+,−,+,+,Ɉ,-1.625,LL,0.9375,,,,,,
295,ʎ̥ʎ̥,+,−,−,+,+,Ɉ,-2,LL,0.9375,,,,,,
296,ʎʎ,+,+,−,+,+,Ɉ,-2,LL,0.9375,,,,,,
297,ʟ̥ʟ̥,+,−,−,+,+,K,-3,LL,0.9375,,,,,,
298,ʟʟ,+,+,−,+,+,K,-3,LL,0.9375,,,,,,
299,ʟ̠ʟ̠,+,+,−,+,+,Q,-4,LL,0.9375,,,,,,
300,l̪̥,+,−,−,+,−,D,1.666666667,L,0.75,,,,,,
301,l̪,+,+,−,+,−,D,1.666666667,L,0.75,,,,,,
302,l̥,+,−,−,+,−,D,0.75,L,0.75,,,,,,
303,l,+,+,−,+,−,D,0.75,L,0.75,,,,,,
304,ȴ,+,+,−,+,−,Ɉ,0,L,0.75,,,,,,
305,l̪ʲ,+,+,−,+,−,Ɉ,-0.166666667,L,0.75,,,,,,
306,l̠̥,+,−,−,+,−,Ɉ,-0.5,L,0.75,,,,,,
307,l̠,+,+,−,+,−,Ɉ,-0.5,L,0.75,,,,,,
308,ɫ̪̊,+,−,−,+,−,Ɉ,-1.166666667,L,0.75,,,,,,
309,ɫ̪,+,+,−,+,−,Ɉ,-1.166666667,L,0.75,,,,,,
310,ɭ̊,+,−,−,+,−,Ɉ,-1.25,L,0.75,,,,,,
311,ɭ,+,+,−,+,−,Ɉ,-1.25,L,0.75,,,,,,
312,ɫ̥,+,−,−,+,−,Ɉ,-1.625,L,0.75,,,,,,
313,ɫ,+,+,−,+,−,Ɉ,-1.625,L,0.75,,,,,,
314,ʎ̥,+,−,−,+,−,Ɉ,-2,L,0.75,,,,,,
315,ʎ,+,+,−,+,−,Ɉ,-2,L,0.75,,,,,,
316,ʟ̥,+,−,−,+,−,K,-3,L,0.75,,,,,,
317,ʟ,+,+,−,+,−,K,-3,L,0.75,,,,,,
318,ʟ̠̥,+,−,−,+,−,Q,-4,L,0.75,,,,,,
319,ʟ̠,+,+,−,+,−,Q,-4,L,0.75,,,,,,
320,β̞β̞,+,+,−,−,+,B,3,WW,0.625,,,,,,
321,ʋʋ,+,+,−,−,+,B,2.5,WW,0.625,,,,,,
322,ð̞ð̞,+,+,−,−,+,D,1.75,WW,0.625,,,,,,
323,ɹɹ,+,+,−,−,+,D,0.75,WW,0.625,,,,,,
324,ɥ̊ɥ̊,+,−,−,−,+,BɈ,0.5,WW,0.625,,,,,,
325,ɹ̠ɹ̠,+,+,−,−,+,Ɉ,-0.5,WW,0.625,,,,,,
326,ɻɻ,+,+,−,−,+,Ɉ,-1.25,WW,0.625,,,,,,
327,ɣ̞ɣ̞,+,+,−,−,+,K,-3,WW,0.625,,,,,,
328,β̞,+,+,−,−,−,B,3,W,0.5,,,,,,
329,ʋ,+,+,−,−,−,B,2.5,W,0.5,,,,,,
330,ð̞,+,+,−,−,−,D,1.75,W,0.5,,,,,,
331,ɹ,+,+,−,−,−,D,0.75,W,0.5,,,,,,
332,ɥ̊,+,−,−,−,−,BɈ,0.5,W,0.5,,,,,,
333,ɹ̠,+,+,−,−,−,Ɉ,-0.5,W,0.5,,,,,,
334,ɻ,+,+,−,−,−,Ɉ,-1.25,W,0.5,,,,,,
335,ɣ̞,+,+,−,−,−,K,-3,W,0.5,,,,,,
336,ʁ̞,+,+,−,−,−,Q,-4,W,0.5,,,,,,
337,ʕ̞,+,+,−,−,−,H,-5,W,0.5,,,,,,
338,ʔ̞,+,+,−,−,−,H,-6,W,0.5,,,,,,
339,ɥɥ,+,+,−,−,+,BɈ,0.5,GG,0.46875,,,,,,
340,ww,+,+,−,−,+,BK,0,GG,0.46875,,,,,,
341,w̃w̃,+,+,−,−,+,BK,0,NGG,0.46875,,,,,,
342,jj,+,+,−,−,+,Ɉ,-2,GG,0.46875,,,,,,
343,j̃j̃,+,+,−,−,+,Ɉ,-2,NGG,0.46875,,,,,,
344,ɰɰ,+,+,−,−,+,K,-3,GG,0.46875,,,,,,
345,ɥ,+,+,−,−,−,BɈ,0.5,G,0.375,,,,,,
346,w,+,+,−,−,−,BK,0,G,0.375,,,,,,
347,w̃,+,+,−,−,−,BK,0,NG,0.375,,,,,,
348,j,+,+,−,−,−,Ɉ,-2,G,0.375,,,,,,
349,j̃,+,+,−,−,−,Ɉ,-2,NG,0.375,,,,,,
350,ɰ,+,+,−,−,−,K,-3,G,0.375,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
