,treatment,environment,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
0,D-,"#_{a,O}",BR POR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
1,D-,"#_{a,O}",AMR ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
2,D-,"#_{a,O}",LAT,+,D,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
3,D-,"#_{a,O}",CAT,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
4,D-,"#_{a,O}",VAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
5,D-,"#_{a,O}",BAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
6,D-,"#_{a,O}",OCC,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
7,D-,"#_{a,O}",GAS OCC,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
8,D-,"#_{a,O}",EU FRA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
9,D-,"#_{a,O}",QBC FRA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
10,D-,"#_{a,O}",WAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
11,D-,"#_{a,O}",ARP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
12,D-,"#_{a,O}",LIG,,,,,,,,,,,,1.0
13,D-,"#_{a,O}",EU POR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
14,D-,"#_{a,O}",LMO,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
15,D-,"#_{a,O}",RMH,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
16,D-,"#_{a,O}",FUR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
17,D-,"#_{a,O}",LOG SRD,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
18,D-,"#_{a,O}",CPN SRD,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
19,D-,"#_{a,O}",COR,,,,,,,,,,,,1.0
20,D-,"#_{a,O}",ITA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
21,D-,"#_{a,O}",ABR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
22,D-,"#_{a,O}",CAM,+,d,d̪~ɾ,101,−,P~L,D,1.2083333333333335,−,2.4375,+,1.0
23,D-,"#_{a,O}",PGL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
24,D-,"#_{a,O}",SCN,+,d,d̪~ɾ,101,−,P~L,D,1.2083333333333335,−,2.4375,+,1.0
25,D-,"#_{a,O}",VEN,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
26,D-,"#_{a,O}",ARO,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
27,D-,"#_{a,O}",ROM,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
29,D-,"#_{a,O}",QBC FRA,+,d,d͡z̪,27,−,P͡F,D,1.3333333333333333,+,3,+,2.0
30,D-,"#_{a,O}",GAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
31,D-,"#_{a,O}",ASL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
