,treatment,environment,position,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
5,D-,"#_{a,O}",1,BAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
6,D-,"#_{a,O}",1,OCC,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
7,D-,"#_{a,O}",1,GAS OCC,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
8,D-,"#_{a,O}",1,EU FRA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
9,D-,"#_{a,O}",1,QBC FRA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
10,D-,"#_{a,O}",1,WAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
11,D-,"#_{a,O}",1,ARP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
12,D-,"#_{a,O}",1,LIG,,,,,,,,,,,,1.0
13,D-,"#_{a,O}",1,EU POR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
14,D-,"#_{a,O}",1,LMO,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
15,D-,"#_{a,O}",1,RMH,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
16,D-,"#_{a,O}",1,FUR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
17,D-,"#_{a,O}",1,LOG SRD,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
18,D-,"#_{a,O}",1,CPN SRD,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
19,D-,"#_{a,O}",1,COR,,,,,,,,,,,,1.0
20,D-,"#_{a,O}",1,ITA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
21,D-,"#_{a,O}",1,ABR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
22,D-,"#_{a,O}",1,CAM,+,d,d̪~ɾ,101,−,P~L,D,1.2083333333333335,−,2.4375,+,1.0
23,D-,"#_{a,O}",1,PGL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
24,D-,"#_{a,O}",1,SCN,+,d,d̪~ɾ,101,−,P~L,D,1.2083333333333335,−,2.4375,+,1.0
25,D-,"#_{a,O}",1,VEN,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
26,D-,"#_{a,O}",1,ARO,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
27,D-,"#_{a,O}",1,ROM,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
29,D-,"#_{a,O}",1,QBC FRA,+,d,d͡z̪,27,−,P͡F,D,1.3333333333333333,+,3,+,2.0
30,D-,"#_{a,O}",1,GAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
31,D-,"#_{a,O}",1,ASL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
32,D-,"#_{a,O}",1,CAS ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
33,D-,"#_{a,O}",1,AND ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
34,D-,"#_{a,O}",1,ARG,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
0,C-,#_E,1,BR POR,+,c,s,50,−,F,D,1,+,2,−,1.0
1,C-,#_E,1,AMR ESP,+,c,s,50,−,F,D,1,+,2,−,1.0
2,C-,#_E,1,LAT,+,C,k,19,−,P,K,-3,−,4,−,1.0
3,C-,#_E,1,CAT,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
4,C-,#_E,1,VAL,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
5,C-,#_E,1,BAL,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
6,C-,#_E,1,OCC,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
7,C-,#_E,1,GAS OCC,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
8,C-,#_E,1,EU FRA,+,c,s̪,48,−,F,D,1.3333333333333333,+,2,−,1.0
9,C-,#_E,1,QBC FRA,+,c,s̪,48,−,F,D,1.3333333333333333,+,2,−,1.0
10,C-,#_E,1,WAL,+,c,s̪,48,−,F,D,1.3333333333333333,+,2,−,1.0
11,C-,#_E,1,ARP,+,c,s̪,48,−,F,D,1.3333333333333333,+,2,−,1.0
12,C-,#_E,1,LIG,,,,,,,,,,,,1.0
13,C-,#_E,1,EU POR,+,c,s,50,−,F,D,1,+,2,−,1.0
14,C-,#_E,1,LMO,+,sc,ʃ~s̠,103,−,F,Ɉ~D,0,+,2,−,1.0
15,C-,#_E,1,RMH,+,tsch,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
16,C-,#_E,1,FUR,,c,t̠͡ʃ~s̠?,,,,,,,,,1.0
17,C-,#_E,1,LOG SRD,+,ch,k,19,−,P,K,-3,−,4,−,1.0
18,C-,#_E,1,CPN SRD,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
19,C-,#_E,1,COR,,,,,,,,,,,,1.0
20,C-,#_E,1,ITA,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
21,C-,#_E,1,ABR,,,,,,,,,,,,1.0
22,C-,#_E,1,CAM,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
23,C-,#_E,1,PGL,,,,,,,,,,,,1.0
24,C-,#_E,1,SCN,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
25,C-,#_E,1,VEN,+,s/th,s̠~θ,104,−,F,D,1.25,+/−,2,−,1.0
26,C-,#_E,1,ARO,+,ts,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,1.0
27,C-,#_E,1,ROM,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
